Deck,Placement,Tournament,Players,Tier
Greninja Pyukumuku,1.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Lucario Rampardos,2.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Magnezone Skarmory,3.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Lycanroc Rampardos,4.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Lycanroc Rampardos,5.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Gengar Banette,6.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Lucario Rampardos,7.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Togekiss,8.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Magnezone Skarmory,9.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Lycanroc Rampardos,10.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Togekiss,11.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Lucario Rampardos,12.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Lucario Rampardos,13.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Beedrill,14.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Tsareena Tapu Bulu,15.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Garchomp Snorlax,16.0,No EX Tournament - CHEF'S CUP 👨‍🍳 #4,41,3
Lucario Rampardos,1.0,Umbreon League - Pocket #2,39,3
Giratina ex Snorlax,2.0,Umbreon League - Pocket #2,39,3
Giratina ex Darkrai ex,3.0,Umbreon League - Pocket #2,39,3
Meowscarada Decidueye ex,4.0,Umbreon League - Pocket #2,39,3
Giratina ex Darkrai ex,5.0,Umbreon League - Pocket #2,39,3
Solgaleo ex Skarmory,6.0,Umbreon League - Pocket #2,39,3
Giratina ex Snorlax,7.0,Umbreon League - Pocket #2,39,3
Weavile ex Darkrai ex,8.0,Umbreon League - Pocket #2,39,3
Arceus ex Crobat,9.0,Umbreon League - Pocket #2,39,3
Charizard ex Incineroar ex,10.0,Umbreon League - Pocket #2,39,3
Garchomp ex Rampardos,11.0,Umbreon League - Pocket #2,39,3
Giratina ex Snorlax,12.0,Umbreon League - Pocket #2,39,3
Garchomp ex Rampardos,13.0,Umbreon League - Pocket #2,39,3
Giratina ex Snorlax,14.0,Umbreon League - Pocket #2,39,3
Wishiwashi ex Wishiwashi,15.0,Umbreon League - Pocket #2,39,3
Incineroar ex Turtonator,16.0,Umbreon League - Pocket #2,39,3
Giratina ex Darkrai ex,1.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Meowscarada Decidueye ex,2.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Giratina ex Darkrai ex,3.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Arceus ex Crobat,4.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Giratina ex Darkrai ex,5.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Giratina ex Darkrai ex,6.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Garchomp ex Rampardos,7.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Decidueye ex Meowscarada,8.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Garchomp ex Rampardos,9.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Charizard ex Incineroar ex,10.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Arceus ex Crobat,11.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Charizard ex Incineroar ex,12.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Magnezone Oricorio,13.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Giratina ex Darkrai ex,14.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Serperior Celebi ex,15.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Magnezone Oricorio,16.0,🏆 THE SAGA LEAGUE WEEKLY - $5 USD PRIZE 🏆,32,3
Charizard ex Incineroar ex,1.0,🏆CardConqueror 10€ PayPal🏆,36,3
Meowscarada Decidueye ex,2.0,🏆CardConqueror 10€ PayPal🏆,36,3
Arceus ex Darkrai ex,3.0,🏆CardConqueror 10€ PayPal🏆,36,3
Giratina ex Snorlax,4.0,🏆CardConqueror 10€ PayPal🏆,36,3
Giratina ex Snorlax,5.0,🏆CardConqueror 10€ PayPal🏆,36,3
Garchomp ex Rampardos,6.0,🏆CardConqueror 10€ PayPal🏆,36,3
Giratina ex Snorlax,7.0,🏆CardConqueror 10€ PayPal🏆,36,3
Lycanroc Rampardos,8.0,🏆CardConqueror 10€ PayPal🏆,36,3
Alolan Raichu ex Dialga ex,9.0,🏆CardConqueror 10€ PayPal🏆,36,3
Garchomp ex Rampardos,10.0,🏆CardConqueror 10€ PayPal🏆,36,3
Giratina ex Darkrai ex,11.0,🏆CardConqueror 10€ PayPal🏆,36,3
Arceus ex Crobat,12.0,🏆CardConqueror 10€ PayPal🏆,36,3
Garchomp Kangaskhan,13.0,🏆CardConqueror 10€ PayPal🏆,36,3
Exeggutor Alolan Exeggutor,1.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Golem Hitmonchan,2.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Crobat Carnivine,3.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Magnezone Skarmory,4.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Togekiss,5.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Greninja Snorlax,5.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Weezing Scolipede,7.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Weezing Scolipede,7.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Lucario Kabutops,9.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Golem Lucario,9.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Greninja Snorlax,9.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Togekiss,9.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Beedrill Tsareena,13.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Bastiodon Skarmory,13.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Greninja Pyukumuku,13.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Toxapex Regigigas,13.0,🏆 NON-EX GRAND TOURNAMENT #3 🏆,17,3
Giratina ex Snorlax,1.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Gallade ex Rampardos,2.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Magnezone Oricorio,3.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Alolan Raichu ex Giratina ex,4.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Solgaleo ex Escavalier,5.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Charizard ex Incineroar ex,6.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Solgaleo ex Skarmory,7.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Arceus ex Crobat,8.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Garchomp ex Rampardos,9.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Garchomp ex Rampardos,10.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Charizard ex Incineroar ex,11.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Arceus ex Toucannon,12.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Giratina ex Darkrai ex,13.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Charizard ex Moltres ex,14.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Beedrill ex Beedrill,15.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Giratina ex Snorlax,16.0,🏆POCKET TOUR TOURNAMENT #18🏆,63,3
Charizard ex Incineroar ex,1.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Giratina ex Snorlax,2.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Giratina ex Darkrai ex,3.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Garchomp ex Lucario,4.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Dialga ex Arceus ex,5.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Giratina ex Darkrai ex,6.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Skarmory Bastiodon,7.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Giratina ex Darkrai ex,8.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Charizard ex Incineroar ex,9.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Infernape ex Charizard ex,10.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Arceus ex Crobat,11.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Giratina ex Greninja,12.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Garchomp ex Rampardos,13.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Incineroar ex Turtonator,14.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Giratina ex Darkrai ex,15.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Giratina ex Snorlax,16.0,Umbreon League - Pokemon Pocket #1!!!,35,3
Giratina ex Snorlax,1.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Giratina ex Snorlax,2.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Giratina ex Snorlax,3.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Garchomp ex Rampardos,3.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Giratina ex Snorlax,5.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Garchomp ex Rampardos,5.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Garchomp ex Rampardos,5.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Magnezone Oricorio,5.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Decidueye ex Meowscarada,9.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Lycanroc Rampardos,9.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Solgaleo ex Skarmory,9.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Charizard ex Incineroar ex,9.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Magnezone Pawmot,9.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Alolan Muk ex Darkrai ex,9.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Giratina ex,9.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Giratina ex Snorlax,9.0,📌 Semanal Maio #1 - Prize $20 BRL,30,3
Arceus ex Kangaskhan,1.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Lycanroc Rampardos,2.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Garchomp ex Rampardos,3.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Lucario Rampardos,4.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Giratina ex Dragonite,5.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Charizard ex Incineroar ex,6.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Magnezone Snorlax,7.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Giratina ex Greninja,8.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Togekiss,9.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Solgaleo ex Skarmory,10.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Kommo-o Oricorio,11.0,TBBL- Blitz Swiss Wednesday [6R. BO1],22,3
Exeggutor ex Celebi ex,1.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Tsareena Celebi ex,2.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Tsareena Celebi ex,3.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Kingler,4.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Tsareena Celebi ex,5.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Tsareena Celebi ex,5.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Rapidash Alolan Marowak,7.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Exeggutor ex Celebi ex,7.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Bastiodon,9.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Rapidash Alolan Marowak,9.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Moltres ex Rapidash,9.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Tsareena,9.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Exeggutor ex Pinsir,13.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Moltres ex Rapidash,13.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Bastiodon,13.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Tsareena Celebi ex,13.0,🪙 MASTER OF COIN TOURNAMENT #3 🪙,24,3
Charizard ex Infernape ex,1.0,Hanafuda Pocket Clash #1,51,3
Giratina ex Darkrai ex,2.0,Hanafuda Pocket Clash #1,51,3
Charizard ex Incineroar ex,3.0,Hanafuda Pocket Clash #1,51,3
Giratina ex Snorlax,4.0,Hanafuda Pocket Clash #1,51,3
Garchomp ex Rampardos,5.0,Hanafuda Pocket Clash #1,51,3
Rampardos Lycanroc,6.0,Hanafuda Pocket Clash #1,51,3
Garchomp ex Rampardos,7.0,Hanafuda Pocket Clash #1,51,3
Meowscarada Tsareena,8.0,Hanafuda Pocket Clash #1,51,3
Arceus ex Darkrai ex,9.0,Hanafuda Pocket Clash #1,51,3
Garchomp ex Rampardos,10.0,Hanafuda Pocket Clash #1,51,3
Solgaleo ex Escavalier,11.0,Hanafuda Pocket Clash #1,51,3
Exeggutor ex Meowscarada,12.0,Hanafuda Pocket Clash #1,51,3
Araquanid Giratina ex,13.0,Hanafuda Pocket Clash #1,51,3
Charizard ex Incineroar ex,15.0,Hanafuda Pocket Clash #1,51,3
Solgaleo ex Skarmory,1.0,GeekoPoke Pocket VI,6,3
Garchomp ex Rampardos,2.0,GeekoPoke Pocket VI,6,3
Charizard ex Charizard,3.0,GeekoPoke Pocket VI,6,3
Giratina ex Greninja,4.0,GeekoPoke Pocket VI,6,3
Solgaleo ex Skarmory,5.0,GeekoPoke Pocket VI,6,3
Giratina ex Snorlax,6.0,GeekoPoke Pocket VI,6,3
Giratina ex Darkrai ex,1.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Giratina ex Snorlax,2.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Pikachu ex Luxray,3.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Giratina ex Snorlax,4.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Giratina ex Darkrai ex,5.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Garchomp ex Rampardos,6.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Lycanroc Rampardos,7.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Arceus ex Darkrai ex,8.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Greninja Oricorio,9.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Charizard ex Incineroar ex,10.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Solgaleo ex Skarmory,11.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Meowscarada Butterfree,12.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Lycanroc Rampardos,14.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Giratina ex Dragonite,15.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Garchomp ex Rampardos,16.0,TBBL - No-Ex Sunday [Custom] [5 Usd$],39,3
Giratina ex Snorlax,1.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Giratina ex Snorlax,2.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Greninja Giratina ex,3.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Magnezone Oricorio,4.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Arceus ex Crobat,5.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Giratina ex Darkrai ex,6.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Arceus ex Crobat,7.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Giratina ex Snorlax,8.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Giratina ex Snorlax,9.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Decidueye ex Meowscarada,10.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Charizard ex Incineroar ex,11.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Arceus ex Crobat,12.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Charizard ex Incineroar ex,13.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Lucario Rampardos,14.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Garchomp ex Rampardos,15.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Arceus ex Crobat,16.0,🔱IMPERIUM’S Weekly Tournament 20 USD🔱,197,1
Giratina ex Darkrai ex,1.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Togekiss,2.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Arceus ex Crobat,3.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Giratina ex Dragonite,4.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Giratina ex Darkrai ex,5.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Giratina ex Darkrai ex,6.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Crabominable ex Greninja,7.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Giratina ex Darkrai ex,8.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Greninja Giratina ex,9.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Garchomp ex Rampardos,10.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Arceus ex Crobat,11.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Giratina ex Darkrai ex,12.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Arceus ex Darkrai ex,13.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Charizard ex Incineroar ex,14.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Giratina ex Snorlax,15.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Garchomp ex Rampardos,16.0,🐸FrogEX Celestial Guardians • 30 USD Prize🐸,217,1
Lucario Rampardos,1.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Luxray Farfetch'd,2.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Weavile ex Darkrai ex,3.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Incineroar ex,4.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Giratina ex Darkrai ex,5.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Floatzel Greninja,6.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Golem,8.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Wishiwashi ex Wishiwashi,9.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Arceus ex Crobat,10.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Charizard ex Incineroar ex,11.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Arceus ex Crobat,15.0,🌑C0unter3d Official✴️Monday Weekly #4,18,3
Lycanroc Rampardos,1.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Lucario Rampardos,2.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Garchomp ex Rampardos,3.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Incineroar ex Infernape ex,4.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Giratina ex Snorlax,5.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Garchomp ex Rampardos,6.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Giratina ex Snorlax,7.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Magnezone Oricorio,8.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Charizard ex Incineroar ex,9.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Giratina ex Snorlax,10.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Greninja Oricorio,11.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Giratina ex Darkrai ex,12.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Magnezone Oricorio,13.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Snorlax Greninja,14.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Garchomp ex Rampardos,15.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Giratina ex Darkrai ex,16.0,🏆THE GRAND TOURNAMENT - $100 USD PRIZE🏆,299,1
Incineroar ex Turtonator,1.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Giratina ex Darkrai ex,2.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Charizard ex Incineroar ex,3.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Giratina ex Snorlax,4.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Greninja Giratina ex,5.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Giratina ex Darkrai ex,6.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Giratina ex Snorlax,7.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Pikachu ex Luxray,8.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Charizard ex Incineroar ex,9.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Giratina ex Snorlax,10.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Meowscarada,11.0,Peladão Pocket • Stage #12 (A3 is Legal),24,3
Magnezone Oricorio,1.0,Semanal - Tripulação Sparrow #7,23,3
Gyarados ex Manaphy,2.0,Semanal - Tripulação Sparrow #7,23,3
Solgaleo ex Skarmory,3.0,Semanal - Tripulação Sparrow #7,23,3
Giratina ex Darkrai ex,3.0,Semanal - Tripulação Sparrow #7,23,3
Crabominable ex Greninja,5.0,Semanal - Tripulação Sparrow #7,23,3
Lycanroc Rampardos,5.0,Semanal - Tripulação Sparrow #7,23,3
Charizard ex Incineroar ex,5.0,Semanal - Tripulação Sparrow #7,23,3
Giratina ex Darkrai ex,5.0,Semanal - Tripulação Sparrow #7,23,3
Solgaleo ex Skarmory,9.0,Semanal - Tripulação Sparrow #7,23,3
Arceus ex Crobat,9.0,Semanal - Tripulação Sparrow #7,23,3
Incineroar ex Turtonator,9.0,Semanal - Tripulação Sparrow #7,23,3
Lunala ex Giratina ex,9.0,Semanal - Tripulação Sparrow #7,23,3
Charizard ex Moltres ex,9.0,Semanal - Tripulação Sparrow #7,23,3
Arceus ex Darkrai ex,9.0,Semanal - Tripulação Sparrow #7,23,3
Charizard ex Incineroar ex,9.0,Semanal - Tripulação Sparrow #7,23,3
Incineroar ex Charizard ex,9.0,Semanal - Tripulação Sparrow #7,23,3
Magnezone Oricorio,1.0,TBBL- Welcome - [10 USD][Code-Discord],44,3
Giratina ex Darkrai ex,2.0,TBBL- Welcome - [10 USD][Code-Discord],44,3
Charizard ex Incineroar ex,3.0,TBBL- Welcome - [10 USD][Code-Discord],44,3
